strain	original_plate_position	new_plate-position
AKB	1_B1	1_A1
ALH	1_D2	1_B1
ALI	1_D3	1_C1
AMP	1_F3	1_D1
AKT	1_C5	1_E1
ALN	1_D7	1_F1
ANP	1_G8	1_G1
APH	1_H9	1_H1
AKL	1_B10	1_A2
ALD	1_C10	1_B2
ANS	1_G11	1_C2
APL	1_H12	1_D2
BBF	2_D2	1_E2
BDD	2_G2	1_F2
BAF	2_B7	1_G2
BCS	2_F8	1_H2
BCT	2_F9	1_A3
BED	2_H9	1_B3
BBP	2_D10	1_C3
BDM	2_G10	1_D3
BDN	2_G11	1_E3
BEF	2_H11	1_F3
BHG	3_D1	1_G3
BGE	3_B3	1_H3
BHI	3_D3	1_A4
BHK	3_D4	1_B4
BHL	3_D5	1_C4
BIE	3_E6	1_D4
BGI	3_B8	1_E4
BFS	3_A9	1_F4
BHQ	3_D9	1_G4
BGL	3_B10	1_H4
BHD	3_C10	1_A5
BGM	3_B11	1_B5
BPN	4_F1	1_C5
BMD	4_B2	1_D5
BVB	5_E1	1_E5
BVC	5_E2	1_F5
BVG	5_E6	1_G5
BSK	5_B7	1_H5
BTC	5_C7	1_A6
BRV	5_A9	1_B6
BTT	5_D10	1_C6
BVA	5_D12	1_D6
ADM	6_E2	1_E6
AAC	6_D4	1_F6
AEL	6_E5	1_G6
AFE	6_F6	1_H6
AGB	6_E8	1_A7
AGG	6_F8	1_B7
AHP	6_C12	1_C7
AAP	6_H12	1_D7
CLG	7_A1	1_E7
CQC	7_G1	1_F7
CPL	7_F2	1_G7
CPM	7_F3	1_H7
CNH	7_D4	1_A8
CPA	7_E4	1_B8
CPN	7_F4	1_C8
CNI	7_D5	1_D8
CQG	7_G5	1_E8
CNK	7_D6	1_F8
CPC	7_E6	1_G8
CMT	7_C7	1_H8
CQI	7_G7	1_A9
CNM	7_D8	1_B9
CQK	7_G8	1_C9
CNP	7_D10	1_D9
CNC	7_C11	1_E9
CNQ	7_D11	1_F9
CNR	7_D12	1_G9
CPI	7_E12	1_H9
CQB	7_F12	1_A10
CQP	7_G12	1_B10
ASD	8_E3	1_C10
AFP	8_G8	1_D10
AQA	8_B11	1_E10
AQG	8_G11	1_F10
AQI	8_A12	1_G10
ASB	9_C3	1_H10
ASN	9_C4	1_A11
ASP	9_D4	1_B11
AST	9_G4	1_C11
ATR	9_C6	1_D11
BFH	9_F8	1_E11
CHR	9_D9	1_F11
CHT	9_F9	1_G11
CIC	9_B10	1_H11
CID	9_C10	1_A12
CIF	9_E10	1_B12
CIH	9_G10	1_C12
CII	9_H10	1_D12
CIL	9_B11	1_E12
CKA	9_C12	1_F12
CKN	10_G1	1_G12
CFF	10_B10	1_H12
CGL	10_E11	2_A1
CGR	10_A12	2_B1
